intervention,peak_pressure_index,mean_pressure_index,ending_pressure_index,pressure_load_index_hours,minimum_effective_do_mg_l,mean_feeding_opportunity_pct,response_readiness_hours,pressure_band,scenario_interpretation,scenario_id,hab_multiplier,mhw_delta_c,do_delta_mg_l,density_multiplier,pressure_load_reduction_pct,lowest_pressure,pareto_efficient
降低投喂+增氧,52.328,34.86556712328767,52.328,2515.0224,4.8645,36.0904602739726,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,47,1.0,0.4,-0.5,1.0,12.745839011019159,True,True
维持监测,61.2821,40.39155616438355,61.2821,2913.9425499999998,3.2283,48.05440684931507,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,48,1.0,0.4,-0.5,1.1,0.0,False,False
降低投喂40%,60.2799,39.74513835616439,60.2799,2867.25515,3.3108,29.1125301369863,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,48,1.0,0.4,-0.5,1.1,1.6022072912865013,False,False
启动增氧,54.2284,36.03426301369863,54.2284,2599.3869999999997,4.7283,58.60391369863013,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,48,1.0,0.4,-0.5,1.1,10.794843913446408,False,True
转移准备（未执行）,61.2821,40.39155616438355,61.2821,2913.9425499999998,3.2283,48.05440684931507,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,48,1.0,0.4,-0.5,1.1,0.0,False,False
降低投喂+增氧,53.1928,35.38975342465753,53.1928,2552.8556,4.8108,35.69349452054795,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,48,1.0,0.4,-0.5,1.1,12.391697633160268,True,True
维持监测,58.0163,38.35894931506849,58.0163,2767.1951500000005,3.8693,51.390258904109594,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,49,1.0,0.4,0.0,0.9,0.0,False,False
降低投喂40%,56.9858,37.70570547945206,56.9858,2720.0236000000004,3.9367,31.19260684931507,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,49,1.0,0.4,0.0,0.9,1.7046701603246166,False,False
启动增氧,48.7481,32.7209506849315,48.7481,2360.25535,5.3693,65.04745753424659,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,49,1.0,0.4,0.0,0.9,14.705858385159445,False,True
转移准备（未执行）,58.0163,38.35894931506849,58.0163,2767.1951500000005,3.8693,51.390258904109594,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,49,1.0,0.4,0.0,0.9,0.0,False,False
降低投喂+增氧,48.0822,32.31768630136986,48.0822,2331.1500000000005,5.4367,39.37828767123288,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,49,1.0,0.4,0.0,0.9,15.757658074819908,True,True
维持监测,59.0915,39.02643561643836,59.0915,2815.38405,3.7884,50.70832465753424,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,50,1.0,0.4,0.0,1.0,0.0,False,False
降低投喂40%,58.0422,38.35750821917809,58.0422,2767.077,3.8645,30.796787671232877,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,50,1.0,0.4,0.0,1.0,1.7158245248991835,False,False
启动增氧,49.871,33.39403698630138,49.871,2408.8292,5.2884,64.20779452054795,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,50,1.0,0.4,0.0,1.0,14.440475714139248,False,True
转移准备（未执行）,59.0915,39.02643561643836,59.0915,2815.38405,3.7884,50.70832465753424,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,50,1.0,0.4,0.0,1.0,0.0,False,False
降低投喂+增氧,49.1173,32.93494109589041,49.1173,2375.6920499999997,5.3645,38.932817808219184,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,50,1.0,0.4,0.0,1.0,15.617478546133004,True,True
维持监测,59.8738,39.51390821917808,59.8738,2850.5784,3.7283,50.22510273972603,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,51,1.0,0.4,0.0,1.1,0.0,False,False
降低投喂40%,58.8141,38.83547260273973,58.8141,2801.58245,3.8108,30.51420684931507,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,51,1.0,0.4,0.0,1.1,1.718807312929895,False,False
启动增氧,50.7224,33.90660821917808,50.7224,2445.8212000000003,5.2283,63.56346712328769,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,51,1.0,0.4,0.0,1.1,14.19912534242172,False,True
转移准备（未执行）,59.8738,39.51390821917808,59.8738,2850.5784,3.7283,50.22510273972603,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,51,1.0,0.4,0.0,1.1,0.0,False,False
降低投喂+增氧,49.9015,33.40431369863014,49.9015,2409.56415,5.3108,38.59092876712329,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,51,1.0,0.4,0.0,1.1,15.471044402778038,True,True
维持监测,55.4278,36.765827397260274,55.4278,2652.1915,4.3693,55.33926712328767,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,52,1.0,0.4,0.5,0.9,0.0,False,False
降低投喂40%,54.4073,36.127361643835606,54.4073,2606.0937499999995,4.4367,33.6401205479452,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,52,1.0,0.4,0.5,0.9,1.7381003596459894,False,False
启动增氧,46.2284,31.221046575342463,46.2284,2252.0222,5.8693,68.54142876712329,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,52,1.0,0.4,0.5,0.9,15.08825060332182,False,True
转移准备（未执行）,55.4278,36.765827397260274,55.4278,2652.1915,4.3693,55.33926712328767,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,52,1.0,0.4,0.5,0.9,0.0,False,False
降低投喂+增氧,45.8167,30.974734246575338,45.8167,2234.24725,5.9367,41.347928767123285,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,52,1.0,0.4,0.5,0.9,15.758449191922983,True,True
维持监测,56.6274,37.50390547945205,56.6274,2705.4714000000004,4.2884,54.44526849315068,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,53,1.0,0.4,0.5,1.0,0.0,False,False
降低投喂40%,55.5595,36.83156301369862,55.5595,2656.92435,4.3645,33.13534520547945,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,53,1.0,0.4,0.5,1.0,1.7944026316449169,False,False
启动增氧,47.1592,31.77284246575343,47.1592,2291.8379,5.7884,67.9403397260274,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,53,1.0,0.4,0.5,1.0,15.288777401232196,False,True
转移准备（未执行）,56.6274,37.50390547945205,56.6274,2705.4714000000004,4.2884,54.44526849315068,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,53,1.0,0.4,0.5,1.0,0.0,False,False
降低投喂+增氧,46.6783,31.48368767123288,46.6783,2270.97005,5.8645,41.03278356164383,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,53,1.0,0.4,0.5,1.0,16.060097696837616,True,True
维持监测,57.5064,38.046990410958905,57.5064,2744.6771,4.2283,53.80020684931507,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,54,1.0,0.4,0.5,1.1,0.0,False,False
降低投喂40%,56.4077,37.35202054794521,56.4077,2694.49365,4.3108,32.76854931506849,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,54,1.0,0.4,0.5,1.1,1.8283917623679666,False,False
启动增氧,47.8703,32.195878082191776,47.8703,2322.36395,5.7283,67.46965479452054,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,54,1.0,0.4,0.5,1.1,15.386624167921246,False,True
转移准备（未执行）,57.5064,38.046990410958905,57.5064,2744.6771,4.2283,53.80020684931507,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,54,1.0,0.4,0.5,1.1,0.0,False,False
降低投喂+增氧,47.3335,31.87190410958904,47.3335,2298.98225,5.8108,40.78715068493151,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,54,1.0,0.4,0.5,1.1,16.238516727523244,True,True
维持监测,59.4952,39.378201369863014,59.4952,2840.8611,3.3731,47.392076712328766,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,55,1.1,-0.4,-0.5,0.9,0.0,False,False
降低投喂40%,58.5154,38.75472054794521,58.5154,2795.8369000000002,3.439,28.703089041095897,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,55,1.1,-0.4,-0.5,0.9,1.5848786130374286,False,False
启动增氧,51.9404,34.75018356164384,51.9404,2506.7932,4.8731,58.83001095890411,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,55,1.1,-0.4,-0.5,0.9,11.759388729001921,False,True
转移准备（未执行）,59.4952,39.378201369863014,59.4952,2840.8611,3.3731,47.392076712328766,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,55,1.1,-0.4,-0.5,0.9,0.0,False,False
降低投喂+增氧,51.0593,34.21067123287671,51.0593,2467.8493500000004,4.939,35.72907260273973,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,55,1.1,-0.4,-0.5,0.9,13.130235406440661,True,True
维持监测,60.453,39.97499589041096,60.453,2883.9482,3.2926,46.911119178082195,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,56,1.1,-0.4,-0.5,1.0,0.0,False,False
降低投喂40%,59.471,39.34684794520548,59.471,2838.5843999999997,3.367,28.41869589041096,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,56,1.1,-0.4,-0.5,1.0,1.5729755478964595,False,False
启动增氧,53.1727,35.49735342465754,53.1727,2560.7204500000003,4.7926,57.86211232876712,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,56,1.1,-0.4,-0.5,1.0,11.207820931041674,False,True
转移准备（未执行）,60.453,39.97499589041096,60.453,2883.9482,3.2926,46.911119178082195,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,56,1.1,-0.4,-0.5,1.0,0.0,False,False
降低投喂+增氧,52.2147,34.9069602739726,52.2147,2518.1007499999996,4.867,35.19972876712329,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,56,1.1,-0.4,-0.5,1.0,12.685645671444455,True,True
维持监测,61.1508,40.41126575342466,61.1508,2915.447,3.2329,46.57096575342466,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,57,1.1,-0.4,-0.5,1.1,0.0,False,False
降低投喂40%,60.1691,39.78088082191781,60.1691,2869.91975,3.3136,28.216315068493152,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,57,1.1,-0.4,-0.5,1.1,1.5615872969050746,False,False
启动增氧,54.091,36.05661369863014,54.091,2601.0873,4.7329,57.142034246575335,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,57,1.1,-0.4,-0.5,1.1,10.78255581391121,False,True
转移准备（未执行）,61.1508,40.41126575342466,61.1508,2915.447,3.2329,46.57096575342466,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,57,1.1,-0.4,-0.5,1.1,0.0,False,False
降低投喂+增氧,53.0782,35.42941369863014,53.0782,2555.8081,4.8136,34.80416438356165,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,57,1.1,-0.4,-0.5,1.1,12.33563498153113,True,True
维持监测,57.8818,38.3796589041096,57.8818,2768.7742,3.8731,49.91326164383562,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,58,1.1,-0.4,0.0,0.9,0.0,False,False
降低投喂40%,56.8725,37.742838356164384,56.8725,2722.7909500000005,3.939,30.298512328767124,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,58,1.1,-0.4,0.0,0.9,1.6607800665001617,False,False
启动增氧,48.6271,32.760142465753425,48.6271,2363.17685,5.3731,63.56777397260273,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,58,1.1,-0.4,0.0,0.9,14.648986183127539,False,True
转移准备（未执行）,57.8818,38.3796589041096,57.8818,2768.7742,3.8731,49.91326164383562,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,58,1.1,-0.4,0.0,0.9,0.0,False,False
降低投喂+增氧,47.9765,32.36819178082192,47.9765,2334.88975,5.439,38.481995890410964,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,58,1.1,-0.4,0.0,0.9,15.670633235458494,True,True
维持监测,58.9565,39.045704109589046,58.9565,2816.85815,3.7926,49.232732876712326,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,59,1.1,-0.4,0.0,1.0,0.0,False,False
降低投喂40%,57.9289,38.39355890410959,57.9289,2769.7653499999997,3.867,29.90334246575343,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,59,1.1,-0.4,0.0,1.0,1.6718200737229296,False,False
启动增氧,49.7458,33.4292698630137,49.7458,2411.4637999999995,5.2926,62.73382739726028,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,59,1.1,-0.4,0.0,1.0,14.391720435052807,False,True
转移准备（未执行）,58.9565,39.045704109589046,58.9565,2816.85815,3.7926,49.232732876712326,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,59,1.1,-0.4,0.0,1.0,0.0,False,False
降低投喂+增氧,49.0096,32.98313835616438,49.0096,2379.2643,5.367,38.03851780821918,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,59,1.1,-0.4,0.0,1.0,15.534820239350719,True,True
维持监测,59.7387,39.53224931506849,59.7387,2851.98485,3.7329,48.750328767123285,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,60,1.1,-0.4,0.0,1.1,0.0,False,False
降低投喂40%,58.7008,38.870797260273974,58.7008,2804.2178000000004,3.8136,29.6211698630137,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,60,1.1,-0.4,0.0,1.1,1.6748703977161545,False,False
启动增氧,50.5941,33.93878219178082,50.5941,2448.23405,5.2329,62.09388630136987,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,60,1.1,-0.4,0.0,1.1,14.15683537028606,False,True
转移准备（未执行）,59.7387,39.53224931506849,59.7387,2851.98485,3.7329,48.750328767123285,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,60,1.1,-0.4,0.0,1.1,0.0,False,False
降低投喂+增氧,49.7922,33.45071643835616,49.7922,2413.0062,5.3136,37.69817123287671,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,60,1.1,-0.4,0.0,1.1,15.392040038361356,True,True
维持监测,55.2922,36.78837671232876,55.2922,2653.9053999999996,4.3731,53.86880958904109,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,61,1.1,-0.4,0.5,0.9,0.0,False,False
降低投喂40%,54.2934,36.16641506849315,54.2934,2609.0015999999996,4.439,32.748082191780824,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,61,1.1,-0.4,0.5,0.9,1.6919894733248613,False,False
启动增氧,46.1193,31.27077260273972,46.1193,2255.7067500000003,5.8731,67.04956438356164,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,61,1.1,-0.4,0.5,0.9,15.004251847108016,False,True
转移准备（未执行）,55.2922,36.78837671232876,55.2922,2653.9053999999996,4.3731,53.86880958904109,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,61,1.1,-0.4,0.5,0.9,0.0,False,False
降低投喂+增氧,45.7175,31.031597260273976,45.7175,2238.4478499999996,5.939,40.44722465753425,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,61,1.1,-0.4,0.5,0.9,15.654572691249662,True,True
维持监测,56.4899,37.5238602739726,56.4899,2706.99685,4.2926,52.97794246575342,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,62,1.1,-0.4,0.5,1.0,0.0,False,False
降低投喂40%,55.4446,36.86883424657534,55.4446,2659.7025999999996,4.367,32.24460684931507,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,62,1.1,-0.4,0.5,1.0,1.7471113791654531,False,False
启动增氧,47.0469,31.819483561643832,47.0469,2295.29885,5.7926,66.45298356164385,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,62,1.1,-0.4,0.5,1.0,15.20866195318993,False,True
转移准备（未执行）,56.4899,37.5238602739726,56.4899,2706.99685,4.2926,52.97794246575342,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,62,1.1,-0.4,0.5,1.0,0.0,False,False
降低投喂+增氧,46.5776,31.5388095890411,46.5776,2275.0443,5.867,40.133568493150676,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,62,1.1,-0.4,0.5,1.0,15.956891490287473,True,True
维持监测,57.3678,38.06520136986301,57.3678,2746.0757999999996,4.2329,52.33491780821918,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,63,1.1,-0.4,0.5,1.1,0.0,False,False
降低投喂40%,56.2921,37.38805479452055,56.2921,2697.18195,4.3136,31.87866712328767,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,63,1.1,-0.4,0.5,1.1,1.780498921406302,False,False
启动增氧,47.7553,32.240016438356164,47.7553,2325.64355,5.7329,65.98594109589041,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,63,1.1,-0.4,0.5,1.1,15.310292964236453,False,True
转移准备（未执行）,57.3678,38.06520136986301,57.3678,2746.0757999999996,4.2329,52.33491780821918,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,63,1.1,-0.4,0.5,1.1,0.0,False,False
降低投喂+增氧,47.2316,31.92561369863014,47.2316,2302.954,5.8136,39.889158904109586,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,63,1.1,-0.4,0.5,1.1,16.136546558547273,True,True
维持监测,60.4597,40.00859178082192,60.4597,2886.39735,3.3731,47.12909315068493,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,64,1.1,0.0,-0.5,0.9,0.0,False,False
降低投喂40%,59.4951,39.39158904109589,59.4951,2841.83845,3.439,28.543286301369864,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,64,1.1,0.0,-0.5,0.9,1.5437548818425846,False,False
启动增氧,52.992,35.416616438356165,52.992,2554.9170000000004,4.8731,58.55513287671233,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,64,1.1,0.0,-0.5,0.9,11.484224443318581,False,True
转移准备（未执行）,60.4597,40.00859178082192,60.4597,2886.39735,3.3731,47.12909315068493,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,64,1.1,0.0,-0.5,0.9,0.0,False,False
降低投喂+增氧,52.1252,34.88296438356164,52.1252,2516.3938,4.939,35.5614698630137,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,64,1.1,0.0,-0.5,0.9,12.818870901471703,True,True
维持监测,61.4066,40.60079452054794,61.4066,2929.1547,3.2926,46.650094520547945,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,65,1.1,0.0,-0.5,1.0,0.0,False,False
降低投喂40%,60.4398,39.97917397260274,60.4398,2884.2598,3.367,28.260056164383563,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,65,1.1,0.0,-0.5,1.0,1.5326913255896055,False,False
启动增氧,54.2094,36.15766301369864,54.2094,2608.4047,4.7926,57.59043013698629,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,65,1.1,0.0,-0.5,1.0,10.950258106886604,False,True
转移准备（未执行）,61.4066,40.60079452054794,61.4066,2929.1547,3.2926,46.650094520547945,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,65,1.1,0.0,-0.5,1.0,0.0,False,False
降低投喂+增氧,53.2668,35.57365616438356,53.2668,2566.2435,4.867,35.03376575342466,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,65,1.1,0.0,-0.5,1.0,12.38962216642228,True,True
维持监测,62.0964,41.03372054794521,62.0964,2960.4134000000004,3.2329,46.31135342465753,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,66,1.1,0.0,-0.5,1.1,0.0,False,False
降低投喂40%,61.1299,40.40985753424657,61.1299,2915.35465,3.3136,28.058532876712327,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,66,1.1,0.0,-0.5,1.1,1.5220424958217031,False,False
启动增氧,55.1166,36.712356164383564,55.1166,2648.4437,4.7329,56.87270136986301,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,66,1.1,0.0,-0.5,1.1,10.538045125724688,False,True
转移准备（未执行）,62.0964,41.03372054794521,62.0964,2960.4134000000004,3.2329,46.31135342465753,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,66,1.1,0.0,-0.5,1.1,0.0,False,False
降低投喂+增氧,54.12,36.091919178082186,54.12,2603.6501,4.8136,34.63942602739727,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,66,1.1,0.0,-0.5,1.1,12.051131102162978,True,True
维持监测,58.8644,39.01757945205479,58.8644,2814.8511,3.8731,49.648423287671235,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,67,1.1,0.0,0.0,0.9,0.0,False,False
降低投喂40%,57.8709,38.387432876712325,57.8709,2769.34715,3.939,30.137257534246576,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,67,1.1,0.0,0.0,0.9,1.6165668585453705,False,False
启动增氧,49.7191,33.44302328767123,49.7191,2412.48115,5.3731,63.28520410958903,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,67,1.1,0.0,0.0,0.9,14.29453764001939,False,True
转移准备（未执行）,58.8644,39.01757945205479,58.8644,2814.8511,3.8731,49.648423287671235,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,67,1.1,0.0,0.0,0.9,0.0,False,False
降低投喂+增氧,49.0792,33.05541643835616,49.0792,2384.5058,5.439,38.31029452054794,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,67,1.1,0.0,0.0,0.9,15.288385946951156,True,True
维持监测,59.9266,39.678424657534244,59.9266,2862.5617,3.7926,48.970202739726034,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,68,1.1,0.0,0.0,1.0,0.0,False,False
降低投喂40%,58.915,39.03309452054795,58.915,2815.9584,3.867,29.743420547945203,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,68,1.1,0.0,0.0,1.0,1.628027790632433,False,False
启动增氧,50.8241,34.10655342465753,50.8241,2460.3663500000002,5.2926,62.454345205479434,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,68,1.1,0.0,0.0,1.0,14.050189730408254,False,True
转移准备（未执行）,59.9266,39.678424657534244,59.9266,2862.5617,3.7926,48.970202739726034,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,68,1.1,0.0,0.0,1.0,0.0,False,False
降低投喂+增氧,50.0999,33.66535890410959,50.0999,2428.5212500000002,5.367,37.86832739726027,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,68,1.1,0.0,0.0,1.0,15.162658328028352,True,True
维持监测,60.6998,40.161194520547944,60.6998,2897.4173,3.7329,48.48944109589041,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,69,1.1,0.0,0.0,1.1,0.0,False,False
降低投喂40%,59.678,39.50662328767123,59.678,2850.1445,3.8136,29.462209589041098,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,69,1.1,0.0,0.0,1.1,1.631549587282446,False,False
启动增氧,51.6619,34.61181780821918,51.6619,2496.8317500000003,5.2329,61.816747945205485,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,69,1.1,0.0,0.0,1.1,13.825607723126378,False,True
转移准备（未执行）,60.6998,40.161194520547944,60.6998,2897.4173,3.7329,48.48944109589041,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,69,1.1,0.0,0.0,1.1,0.0,False,False
降低投喂+增氧,50.8732,34.12913698630137,50.8732,2461.9903999999997,5.3136,37.529130136986296,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,69,1.1,0.0,0.0,1.1,15.028104512249595,True,True
维持监测,56.3044,37.438568493150676,56.3044,2700.8633,4.3731,53.60021095890411,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,70,1.1,0.0,0.5,0.9,0.0,False,False
降低投喂40%,55.3213,36.82321917808219,55.3213,2656.43435,4.439,32.58423561643836,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,70,1.1,0.0,0.5,0.9,1.644990696122976,False,False
启动增氧,47.2429,31.966341095890417,47.2429,2305.92145,5.8731,66.76022739726027,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,70,1.1,0.0,0.5,0.9,14.622800420887652,False,True
转移准备（未执行）,56.3044,37.438568493150676,56.3044,2700.8633,4.3731,53.60021095890411,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,70,1.1,0.0,0.5,0.9,0.0,False,False
降低投喂+增氧,46.8477,31.729868493150686,46.8477,2288.8565500000004,5.939,40.272208219178076,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,70,1.1,0.0,0.5,0.9,15.254631732009525,True,True
维持监测,57.488,38.168189041095886,57.488,2753.5338,4.2926,52.712156164383565,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,71,1.1,0.0,0.5,1.0,0.0,False,False
降低投喂40%,56.4591,37.520091780821915,56.4591,2706.73715,4.367,32.08229863013699,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,71,1.1,0.0,0.5,1.0,1.6995124592260398,False,False
